Accession,Organism_Name,GenBank_RefSeq,Submitters,Organization,Org_location,Release_Date,Pangolin,PangoVersions,Surveillance_Sampling,Isolate,Species,Genus,Family,Molecule_type,Length,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject
PQ869722,Severe acute respiratory syndrome coronavirus 2,GenBank,"Bajwa,M.I., Miller,H., Hayward,N., Greer,N., Osinuga,A., Toy,D., Morrill,K., Pagan-Morales,K., Scully,M.","Delaware Public Health Lab, Sequencing",USA,13-01-2025,MC.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,DE-DHSS-688,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29646,partial,,,,USA: DE,USA,DE,Homo sapiens,,16-12-2024,SAMN46233621,PRJNA673096
OU277356,Severe acute respiratory syndrome coronavirus 2,GenBank,"The Lighthouse Lab in Milton,Keynes., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,30-06-2021,B.1.1.7,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29866,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,03-05-2021,SAMEA8766809,PRJEB37886
OU067799,Severe acute respiratory syndrome coronavirus 2,GenBank,"VanSteenhouse,H., Kasai,Y., Gray,D., Clugston,C., Dominiczak,A., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,31-05-2021,B.1.1.7,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29884,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,12-03-2021,SAMEA8413246,PRJEB37886
OX306166,Severe acute respiratory syndrome coronavirus 2,GenBank,"Melsted,P., Jonsson,H.","DECODE GENETICS, St",Iceland,29-08-2022,BA.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,complete,,,,Iceland,Iceland,,Homo sapiens,,24-01-2022,SAMEA110719047,PRJEB44803
OV548891,Severe acute respiratory syndrome coronavirus 2,GenBank,"The Lighthouse Lab in Milton,Keynes., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,17-01-2022,BA.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29873,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,13-12-2021,SAMEA12001185,PRJEB37886
ON549812,Severe acute respiratory syndrome coronavirus 2,GenBank,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,19-05-2022,BA.2,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,CA-CDC-QDX36651982,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29724,complete,,,,USA: California,USA,CA,Homo sapiens,oronasopharynx,04-05-2022,SAMN28545844,PRJNA716985
OW048617,Severe acute respiratory syndrome coronavirus 2,GenBank,"VanSteenhouse,H., Kasai,Y., Gray,D., Clugston,C., Dominiczak,A., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,06-03-2022,BA.1.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29873,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,19-02-2022,SAMEA13180070,PRJEB37886
OZ202328,Severe acute respiratory syndrome coronavirus 2,GenBank,,"Kelvin Laboratories, Royal Hospitals site, Grosvenor Road, Belfast, BT12 6BA; and: Genomics Core Technology Unit, Queens University Belfast, 97 Lisburn Road, Belfast Bt9 7Bl",,10-11-2024,KP.3.1.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29844,complete,,,,United Kingdom:Northern_Ireland,United Kingdom,,Homo sapiens,,10-10-2024,SAMEA116996706,PRJEB37886
OV975681,Severe acute respiratory syndrome coronavirus 2,GenBank,"The Lighthouse Lab in Milton,Keynes., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,25-02-2022,BA.1.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29873,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,10-02-2022,SAMEA13068265,PRJEB37886
OU007361,Severe acute respiratory syndrome coronavirus 2,GenBank,,"SIB, Ch. des Mines 9",Switzerland,10-05-2021,B.1.177,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,TG-ETHZ-431440,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,partial,,,,Switzerland:TG,Switzerland,,Homo sapiens,,30-12-2020,SAMEA8677723,PRJEB43828
